,total_rainfall,no_of_rainy_days,year,month_of_year,date,total_visitor_inbound,mean_temp
423,208.6,21,2017,4,2017-04-01,1470750,27.8
424,190.0,15,2017,5,2017-05-01,1363897,28.5
425,106.0,10,2017,6,2017-06-01,1387601,28.5
426,79.6,9,2017,7,2017-07-01,1632135,28.3
427,84.2,18,2017,8,2017-08-01,1559283,28.1
428,124.4,19,2017,9,2017-09-01,1320050,28.0
429,120.8,18,2017,10,2017-10-01,1402299,27.9
430,268.6,24,2017,11,2017-11-01,1397330,27.1
431,371.2,23,2017,12,2017-12-01,1569616,27.0
432,287.0,25,2018,1,2018-01-01,1563359,26.1
433,14.8,5,2018,2,2018-02-01,1491970,27.2
434,44.6,10,2018,3,2018-03-01,1584406,28.0
435,61.2,14,2018,4,2018-04-01,1544248,28.5
436,132.2,19,2018,5,2018-05-01,1470891,28.7
437,182.6,17,2018,6,2018-06-01,1544679,28.4
438,143.2,10,2018,7,2018-07-01,1732896,28.5
439,121.6,11,2018,8,2018-08-01,1683122,28.5
440,144.4,13,2018,9,2018-09-01,1415149,28.0
441,234.4,18,2018,10,2018-10-01,1467380,27.9
442,169.6,27,2018,11,2018-11-01,1406985,27.3
443,172.6,19,2018,12,2018-12-01,1603217,27.6
444,63.6,9,2019,1,2019-01-01,1624593,28.0
445,31.6,5,2019,2,2019-02-01,1499051,28.2
446,72.2,6,2019,3,2019-03-01,1564664,28.7
447,174.8,9,2019,4,2019-04-01,1596724,28.6
448,69.0,13,2019,5,2019-05-01,1487791,29.3
449,173.8,16,2019,6,2019-06-01,1551847,28.4
450,12.2,8,2019,7,2019-07-01,1802593,29.0
451,11.8,6,2019,8,2019-08-01,1736102,29.1
452,22.8,4,2019,9,2019-09-01,1463543,29.0
453,176.8,15,2019,10,2019-10-01,1530479,28.1
454,137.4,15,2019,11,2019-11-01,1533668,28.0
455,421.5,14,2019,12,2019-12-01,1724961,26.7
456,88.4,6,2020,1,2020-01-01,1688102,27.7
457,65.0,8,2020,2,2020-02-01,732966,27.9
458,108.8,8,2020,3,2020-03-01,240001,28.6
459,188.0,12,2020,4,2020-04-01,750,28.9
460,255.6,16,2020,5,2020-05-01,880,28.9
461,233.8,21,2020,6,2020-06-01,2171,28.1
462,140.8,22,2020,7,2020-07-01,6843,27.9
463,103.4,12,2020,8,2020-08-01,8912,28.3
464,150.2,18,2020,9,2020-09-01,9500,27.5
465,78.8,16,2020,10,2020-10-01,13399,28.3
466,220.6,19,2020,11,2020-11-01,14749,27.2
467,253.2,20,2020,12,2020-12-01,24170,27.2
468,692.8,17,2021,1,2021-01-01,23366,26.0
469,1.0,2,2021,2,2021-02-01,18141,27.3
470,182.4,14,2021,3,2021-03-01,27202,27.9
471,290.4,14,2021,4,2021-04-01,25737,28.2
472,245.8,13,2021,5,2021-05-01,14190,28.7
473,93.4,20,2021,6,2021-06-01,10029,28.5
474,195.8,12,2021,7,2021-07-01,18517,28.6
475,293.6,24,2021,8,2021-08-01,15887,27.6
476,205.4,14,2021,9,2021-09-01,19009,28.3
477,177.0,14,2021,10,2021-10-01,24006,28.5
478,312.4,23,2021,11,2021-11-01,41179,27.6
479,119.6,15,2021,12,2021-12-01,92796,27.7
480,99.8,9,2022,1,2022-01-01,57174,27.4
481,175.0,16,2022,2,2022-02-01,67764,27.3
482,163.2,21,2022,3,2022-03-01,121207,28.1
483,239.6,18,2022,4,2022-04-01,295095,28.1
484,102.0,12,2022,5,2022-05-01,418458,29.2
485,211.8,17,2022,6,2022-06-01,543733,27.9
486,145.2,16,2022,7,2022-07-01,726624,28.6
487,141.4,15,2022,8,2022-08-01,728744,28.1
